# Modelo:Estela,FL_maximo,Regimen_U_max,Regimen_U_std,Regimen_D_max,Regimen_D_std,Velocidad_c,Velocidad_c_max,Velocidad_TMA,Velocidad_aprox
# $Id$
# 
# To find current callsigns use http://www.airframes.org/airlines/ or 
# http://www.airlinecodes.co.uk/airlcodesearch.asp
#
# Performance data for some aircraft can be found in http://ls2.ians.lu/performance/
#

###############################################################

# W A R N I N G

# Do not update the performances below. The are now deprecated since
# performance information is now taken from the bada.txt file

###############################################################

# Modelo:Estela,FL_maximo,Regimen_U_max,Regimen_U_std,Regimen_D_max,Regimen_D_std,Velocidad_c,Velocidad_c_max,Velocidad_TMA,Velocidad_aprox
[performances]
A300:H,380,3000,2000,3000,2000,460,460,280,160
A306:H,380,3000,2000,3000,2000,460,460,280,160
A30B:H,380,3000,2000,3000,2000,460,460,280,160
A310:H,410,3000,2000,3000,2000,440,460,280,160
A319:M,390,3000,1700,3000,1700,450,450,280,160
A320:M,390,3000,1700,3000,1700,460,460,280,160
A321:M,410,3000,1700,3000,1700,460,460,280,160
A330:H,390,3500,2000,3500,2000,465,480,280,160
A332:H,390,3500,2000,3500,2000,465,480,280,160
A333:H,390,3500,2000,3500,2000,465,480,280,160
A340:H,410,3500,2000,3500,2000,475,480,280,160
A342:H,410,2800,1800,3500,1800,466,494,280,160
A343:H,410,3500,2000,3500,2000,475,480,280,160
A346:H,430,3700,2000,3700,2000,480,485,280,160
A380:H,450,3500,2000,3500,2000,460,480,280,160
AS32:M,170,1400,1000,1400,1000,130,150,130,130
AT42:M,250,1800,1200,1800,1200,270,280,180,170
ATR42:M,250,1800,1200,1800,1200,270,280,180,170
AT43:M,250,1800,1200,1800,1200,270,280,180,170
AT72:M,250,1800,1200,1800,1200,230,260,180,170
ATr72:M,250,1800,1200,1800,1200,230,260,180,170
ATP:M,290,1300,1000,1300,1000,230,260,180,170
ATP-:M,290,1300,1000,1300,1000,230,260,180,170
B190:M,330,2625,1200,2500,1200,278,288,250,140
B462:M,310,3000,1700,3000,1700,410,410,280,160
B707:H,390,3550,2000,3500,2000,450,470,280,160
B712:M,350,3000,1700,3000,1700,440,450,280,180
B721:M,350,3000,1700,3000,1700,440,450,280,180
B727:M,370,3000,1500,3000,1500,440,480,280,160
B722:M,430,3600,1500,3000,1500,467,530,280,160
B72B:M,330,3000,1500,3000,1500,480,480,280,160
B732:M,370,4200,1500,3200,1500,420,488,280,160
B733:M,370,4500,1800,3800,1800,430,491,280,160
B734:M,370,4500,1800,3800,1800,430,492,280,160
B735:M,370,4500,2000,3800,1800,430,492,280,160
B736:M,370,3200,1500,3200,1500,430,440,280,160
B737:M,410,4500,2000,3500,2000,453,498,280,160
B738:M,410,3200,2000,3200,2000,455,460,280,160
B742:H,450,1800,1000,1800,1000,488,490,280,180
B743:H,450,4000,1800,3500,1800,490,507,250,180
B744:H,450,4000,1800,3500,1800,490,507,250,180
B74F:H,450,4000,1800,3500,1800,490,507,250,180
B747:H,390,1800,1000,1800,1000,475,490,280,180
B752:H,410,3500,2000,3500,2000,454,460,280,160
B753:H,410,3500,2000,3500,2000,454,460,280,160
B757:H,410,3500,2000,3500,2000,460,460,280,160
B762:H,410,3500,2200,3500,2200,475,460,280,160
B763:H,410,3500,2200,3500,2200,475,460,280,160
B767:H,410,3500,2200,3500,2200,460,460,280,160
B772:H,430,3500,2200,3500,2200,460,480,280,180
B773:H,430,3500,2200,3500,2200,460,480,280,180
B777:H,430,3500,2200,3500,2200,460,480,280,180
BA11:M,350,2200,1000,2200,1000,390,410,280,160
BA46:M,310,3000,1700,3000,1700,410,410,280,160
BE10:L,280,1900,1000,1900,1000,200,225,180,120
BE20:L,350,2450,1200,2000,1500,282,294,180,130
BE33:L,160,900,700,900,700,140,160,120,100
BE55:L,250,1600,1000,1600,1000,160,180,140,100
BE9L:L,280,1900,1000,1900,1000,200,220,180,120
C101:L,400,5000,3500,5000,3500,370,390,280,160
C130:M,330,1800,1000,1800,1000,260,300,240,140
C141:H,410,2900,1700,2900,1700,430,490,280,160
C141C:H,410,2900,1700,2900,1700,430,490,280,160
C150:L,150,600,600,600,600,120,120,120,90
C172:L,150,700,700,700,700,120,120,120,90
C182:L,200,1200,900,1200,900,130,150,100,80
C337:L,190,1300,900,1300,900,130,150,100,80
C340:L,290,1600,1000,1600,1000,200,230,180,140
C5:H,350,1700,1000,1700,1000,430,450,280,160
C-5:H,350,1700,1000,1700,1000,430,450,280,160
C-5-:H,350,1700,1000,1700,1000,430,450,280,160
C500:L,410,5000,3000,4000,2500,330,350,250,125
C550:M,430,3200,1500,3200,1500,330,360,220,160
C560:M,450,4500,1800,4000,1800,395,427,220,160
CARJ:M,430,3000,1700,3000,1700,410,460,280,160
CH47:M,220,1200,700,1200,700,120,140,100,80
CL21:M,180,1500,800,1500,800,140,160,160,100
CL2T:M,180,1500,800,1500,800,140,160,160,100
CL60:M,410,6000,4000,6000,4000,420,440,280,160
CN35:M,270,1500,900,1500,900,220,240,160,100
CONC:H,600,5000,3000,5000,3000,540,560,280,180
CRJ1:M,410,3500,1700,3000,1700,424,459,280,160
CRJ2:M,410,3500,1700,3000,1700,424,459,280,160
CRJ7:M,410,3500,1700,3000,1700,442,464,280,160
CS12:M,260,1200,900,1200,900,150,170,140,100
DA20:M,420,5000,2500,4000,2500,430,465,220,150
DC10:H,390,2700,1500,2700,1500,475,480,280,160
DC8:H,390,2300,1200,2300,1200,460,480,280,160
DC-8:H,390,2300,1200,2300,1200,460,480,280,160
DC9:M,350,2700,1500,2700,1500,410,440,280,160
DC-9:M,350,2700,1500,2700,1500,410,440,280,160
DH8:M,250,2000,1000,2500,1500,250,280,220,120
DH8C:M,250,2000,1000,2500,1500,250,280,220,120
E110:L,220,1700,900,1700,900,110,130,100,80
E120:L,320,2500,1500,3000,1500,300,330,250,140
E135:M,370,3500,2500,3500,2500,425,450,280,160
E145:M,400,3500,2500,3500,2500,415,430,280,160
EC35:L,150,1500,900,1500,900,110,130,100,80
EFGTR:M,500,6000,4000,6000,4000,500,520,280,180
F1:M,600,12000,8000,12000,8000,1000,1600,280,180
F-1:M,600,12000,8000,12000,8000,1000,1600,280,180
FA10:M,420,3700,2400,3700,1900,420,492,280,150
F100:M,350,2900,1500,2900,1500,440,460,280,180
F15:M,600,18000,7000,18000,7000,480,500,280,180
F-15:M,600,18000,7000,18000,7000,480,500,280,180
F16:M,500,12000,5000,12000,5000,1000,1500,280,180
F-16:M,500,12000,5000,12000,5000,1000,1500,280,180
F27:M,250,3100,1700,3100,1700,225,259,180,150
F4:M,650,6000,4000,6000,4000,900,1300,280,180
F-4:M,650,6000,4000,6000,4000,900,1300,280,180
F50:M,270,2200,1000,2200,1000,260,280,180,140
F-50:M,270,2200,1000,2200,1000,260,280,180,140
F900:M,510,4200,2500,4200,2500,460,480,280,180
F18:M,590,20000,7000,20000,7000,580,600,280,180
FA18:M,590,20000,7000,20000,7000,580,600,280,180
FA20:M,350,5000,3000,5000,3000,400,420,280,160
DA20:M,350,5000,3000,5000,3000,400,420,280,160
FA50:M,490,2300,1500,2300,1500,430,450,280,160
# Modelo:Estela,FL_maximo,Regimen_U_max,Regimen_U_std,Regimen_D_max,Regimen_D_std,Velocidad_c,Velocidad_c_max,Velocidad_TMA,Velocidad_aprox
GLF2:M,430,4300,2200,3700,2200,441,490,280,170
GLF4:M,450,4000,2200,3500,2200,459,509,280,180
GLF5:M,510,4340,2500,4000,2200,462,499,280,180
H25A:M,410,3000,1700,3000,1700,400,420,280,160
HARR:M,500,17000,7000,17000,7000,550,580,280,180
IL62:H,410,3900,1800,3500,1700,460,496,280,180
IL96:H,390,3500,1700,3500,1700,459,480,280,170
KC10:H,390,2700,1500,2700,1500,475,480,280,160
L101:H,420,2700,1500,2700,1500,475,490,280,180
LJ25:M,510,6000,4000,6000,4000,400,430,280,160
LJ25B:M,510,6000,4000,6000,4000,410,430,280,160
LJ35:M,450,4700,2500,4700,2500,420,440,280,160
MD11:H,390,2700,1500,2700,1500,475,480,280,180
MD80:M,370,3000,1700,3000,1700,440,440,280,180
MD81:M,370,3000,1700,3000,1700,440,440,280,180
MD82:M,370,3000,1700,3000,1700,440,450,280,180
MD83:M,370,3000,1700,3000,1700,440,450,280,180
MD87:M,370,3000,1700,3000,1700,440,450,280,180
